NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
1,1,15807.65,15650.35,11/29/2022
2,1,15746.34,15589.66,11/28/2022
3,1,15725.24,15568.76,11/25/2022
4,1,15778.5,15621.5,11/24/2022
5,1,15794.58,15637.42,11/23/2022
6,1,15785.53,15628.47,11/22/2022
7,1,15770.46,15613.54,11/21/2022
8,1,15765.43,15608.57,11/18/2022
9,1,15688.05,15531.95,11/17/2022
10,1,15641.82,15486.18,11/16/2022
11,1,15576.5,15421.5,11/15/2022
12,1,15570.47,15415.53,11/14/2022
13,1,15779.5,15622.5,11/11/2022
14,1,15732.27,15575.73,11/10/2022
15,1,15762.42,15605.58,11/9/2022
16,1,15770.46,15613.54,11/8/2022
17,1,15814.68,15657.32,11/7/2022
18,1,15759.41,15602.59,11/4/2022
19,1,15730.26,15573.74,11/3/2022
20,1,15725.24,15568.76,11/2/2022
21,1,15673.98,15518.02,11/1/2022
22,1,15619.71,15464.29,10/31/2022
23,1,15650.86,15495.14,10/28/2022
24,1,15673.98,15518.02,10/27/2022
25,1,15694.08,15537.92,10/26/2022
26,1,15667.95,15512.05,10/25/2022
27,1,15688.05,15531.95,10/24/2022
28,1,15656.9,15501.1,10/21/2022
29,1,15568.45,15413.55,10/20/2022
30,1,15546.34,15391.66,10/19/2022
31,1,15557.4,15402.6,10/18/2022
32,1,15466.95,15313.05,10/17/2022
33,1,15433.78,15280.22,10/14/2022
34,1,15449.86,15296.14,10/13/2022
35,1,15438.81,15285.19,10/12/2022
36,1,15375.5,15222.5,10/11/2022
37,1,15322.23,15169.77,10/10/2022
38,1,15272.99,15121.01,10/7/2022
39,1,15271.98,15120.02,10/6/2022
40,1,15352.38,15199.62,10/5/2022
41,1,15369.47,15216.53,10/4/2022
42,1,15308.16,15155.84,10/3/2022
43,1,15323.24,15170.76,9/30/2022
44,1,15319.22,15166.78,9/29/2022
45,1,15230.77,15079.23,9/28/2022
46,1,15194.59,15043.41,9/27/2022
47,1,15110.17,14959.83,9/26/2022
48,1,15108.17,14957.83,9/23/2022
49,1,15086.06,14935.94,9/22/2022
50,1,15049.88,14900.13,9/21/2022
51,1,15054.9,14905.1,9/20/2022
52,1,15013.69,14864.31,9/19/2022
53,1,14973.5,14824.5,9/16/2022
54,1,14997.61,14848.39,9/15/2022
55,1,14935.31,14786.69,9/14/2022
56,1,14913.19,14764.81,9/13/2022
57,1,14920.23,14771.77,9/12/2022
58,1,14979.52,14830.48,9/9/2022
59,1,15001.64,14852.36,9/8/2022
60,1,14959.42,14810.58,9/7/2022
61,1,14994.6,14845.4,9/6/2022
62,1,14974.5,14825.5,9/5/2022
63,1,14958.42,14809.58,9/2/2022
64,1,14927.26,14778.74,9/1/2022
65,1,14949.38,14800.63,8/31/2022
66,1,14961.43,14812.57,8/30/2022
67,1,14888.07,14739.93,8/29/2022
68,1,14901.14,14752.86,8/26/2022
69,1,14925.25,14776.75,8/25/2022
70,1,14967.47,14818.53,8/24/2022
71,1,14956.41,14807.59,8/23/2022
72,1,14932.29,14783.71,8/22/2022
73,1,14896.11,14747.89,8/19/2022
74,1,14840.83,14693.17,8/18/2022
75,1,14800.64,14653.36,8/16/2022
76,1,14761.44,14614.56,8/15/2022
77,1,14873,14725,8/12/2022
78,1,14949.38,14800.63,8/11/2022
79,1,14936.31,14787.69,8/10/2022
80,1,14989.58,14840.42,8/9/2022
81,1,14978.52,14829.48,8/8/2022
82,1,15003.65,14854.35,8/5/2022
83,1,14991.58,14842.42,8/4/2022
84,1,14962.44,14813.56,8/3/2022
85,1,14948.37,14799.63,8/2/2022
86,1,14934.3,14785.7,8/1/2022
87,1,15032.79,14883.21,7/29/2022
88,1,15095.1,14944.9,7/28/2022
89,1,15058.92,14909.08,7/27/2022
90,1,15066.96,14917.04,7/26/2022
